id	title	url	date	s_num	w_num	c_num	MedCollect	annotated
fn001	Klaus Schwab már 2016-ban egy mikrochip formájában beültethető, 10 éven belül kötelező globális egészségügyi igazolványt szorgalmazott	https://www.alternativhirek.com/2021/05/klaus-schwab-mar-2016-ban-egy-mikrochip.html	2021.05.10	15	298	1869	fn	True
fn003	A sokkoló igazság a vakcinabiznisz mögött? Ha ennek csak a fele igaz, mindenkit átvertek	http://kimondottigazsagok.com/a-sokkolo-igazsag-a-vakcinabiznisz-mogott-ha-ennek-csak-a-fele-igaz-mindenkit-atvertek/	2021.04.06	22	337	1918	fn	True
fn005	Melinda Gates világhatalmi terve és a nagy RESET? Avagy miért jött sokaknak “kapóra” a globális krízis…	http://kimondottigazsagok.com/melinda-gates-vilaghatalmi-terve-es-a-nagy-reset-avagy-miert-jott-sokaknak-kapora-a-globalis-krizis/		15	324	1858	fn	True
fn006	1 perce érkezett! Nem nyugodhatunk meg?! ÚJABB még a koronavírusnál is veszélyesebb világjárvány a láthatáron:	http://hirozon.info/2021/02/09/1-perce-erkezett-nem-nyugodhatunk-meg-ujabb-meg-a-koronavirusnal-is-veszelyesebb-vilagjarvany-a-lathataron/?fbclid=IwA...	2021.02.09	28	499	3177	fn	True
fn010	"Orbán Viktor SOKKOLÓ bejelentése: ""Ha valaki nem fogadja el az oltóponton felkínált vakcinát, akkor az készüljön fel arra, hogy.."""	http://hirozon.info/2021/02/08/orban-viktor-sokkolo-bejelentese-ha-valaki-nem-fogadja-el-az-oltoponton-felkinalt-vakcinat-akkor-az-keszuljon-fel-arra-hogy/?f...	2021.02.08	37	705	4727	ctrl	True
fn012	Nem is gondolnád, de EZ történik a testeddel, ha használni kezded a sólámpát a lakásodban használni! Hatása orvosilag bizonyított! Mutatjuk mi mindenre jó: - Adjátok tovább áldásos hatásait!	https://bekezdes.co/nem-is-gondolnad-de-ez-tortenik-a-testeddel-ha-hasznalni-kezded-a-solampat-a-lakasodban-hasznalni-hatasa-orvosilag-bizonyitott-mutatjuk-mi-mindenre-jo-adjatok-tovabb-aldasos-hatasait-115995	2019.06.27	35	428	2651	fn	True
fn016	Ne dobd el a gyerek tejfogát! Megmentheti akár az életét is!	https://tudnodkell.info/ne-dobd-el-a-gyerek-tejfogat-megmentheti-akar-az-eletet-is/	2021.04.26	17	321	1927	fn	True
fn017	Egy kutatás szerint, akinek ez a vércsoportja nem a Földről származik!	https://avilagtitkai.com/articles/view/egy-kutatas-szerint-akinek-ez-a-vercsoportja-nem-a-foldrol-szarmazik	2021.04.22	22	347	2070	fn	True
fn018	Jobban védve vagyunk, ha egyszerre két maszkot viselünk egy tanulmány szerint	https://www.szeretlekmagyarorszag.hu/tudomany/jobban-vedve-vagyunk-ha-egyszerre-ket-maszkot-viselunk-egy-tanulmany-szerint/	2021.02.11	8	226	1390	ctrl	True
fn019	Mindenki ledöbbent arccal figyelte a lány kezét, majd jött egy olyan csavar, hogy te is csak pislogni fogsz!	https://otpercpiheno.com/38137-mindenki-ledobbent-arccal-figyelte-a-lany-o1pgtjjxhw/		6	102	502	fn	True
